,name,δ15N..air,δ13C...V.PDB,X.N,X.C,C.N.ratio,Species,Type,Region
1,D011_R,13.35,-17.86,15.27,49.61,3.2,Grey,RBC,1
2,D008_R,14.01,-17.33,14.94,48.43,3.2,Grey,RBC,1
3,D001_R,14.02,-17.98,14.8,47.81,3.2,Grey,RBC,1
4,D004_R,13.79,-17.78,14.99,48.15,3.2,Grey,RBC,1
5,D003_R,13.76,-17.78,15.44,49.67,3.2,Grey,RBC,1
6,D007_R,14.74,-17.2,14.87,48.26,3.2,Grey,RBC,1
7,D002_R,14.61,-17.25,14.15,45.95,3.2,Grey,RBC,1
8,D006_R,14.28,-17.26,14.94,48.1,3.2,Grey,RBC,1
10,D005_R,13.44,-18.31,14.91,47.96,3.2,Grey,RBC,1
11,D003_P,13.44,-17.77,11.59,42.65,3.7,Grey,Plasma,1
12,D011_P,13.23,-18.41,11.9,43.6,3.7,Grey,Plasma,1
13,D005_P,13.92,-18.06,11.65,42.45,3.6,Grey,Plasma,1
14,D002_P,14.17,-18.09,11.84,44.18,3.7,Grey,Plasma,1
15,D006_P,14,-18.16,12.23,44.46,3.6,Grey,Plasma,1
16,D004_P,13.82,-18.53,8.47,32.43,3.8,Grey,Plasma,1
17,D001_P,13.82,-18.43,11.79,43.57,3.7,Grey,Plasma,1
75,D007P,14.51004657,-18.26486691,11.46798441,43.41446053,3.785709761,Grey,Plasma,1
76,D008P,13.81890561,-18.58655323,11.53741998,43.35794928,3.758028167,Grey,Plasma,1
77,D010P,13.73886256,-18.70492421,11.30728009,43.47481696,3.844851866,Grey,Plasma,1
