name,δ15N ‰air,δ13C ‰ V-PDB,%N,%C,C/N ratio
FS16LE,8.12,-19.12,9.14,41.68,4.6
FS13LE,9.87,-16.74,12.85,42.48,3.3
FS2LE,10.47,-17.92,10.95,37.62,3.4
FS12LE,10.38,-17.22,12.77,42.88,3.4
FS9LE,10.65,-17.76,12.62,41.65,3.3
FS6LE,11.18,-17.36,12.93,41.44,3.2
FS1LE,9.936586899,-17.11499648,12.91980941,42.43271444,3.284314272
FS7LE,10.03358108,-18.3434834,11.67265774,39.23149637,3.360973761
FS3LE,11.05028438,-17.44205446,12.73142398,42.32301832,3.324295725
FS10LE,10.59531235,-17.77063322,12.92684904,43.17244523,3.339750088
FS11LE,10.62904628,-18.30113345,12.44127508,44.33037729,3.563169934
FS15LE,10.80483733,-18.08133756,11.49927906,38.10867081,3.314005217
FS14LE,9.170213118,-18.0121647,11.41190957,43.98255038,3.854092086
FS8LE,10.47609751,-17.75948859,12.19053505,44.89161451,3.682497472
FS5LE,10.75063398,-17.70041732,12.16242599,38.81667775,3.191524272
FS17LE,11.07598309,-17.4145324,12.41939738,40.61777818,3.270511197
FS18LE,11.4038203,-16.96318024,12.75398764,41.03681103,3.2175671
FS19LE,9.59449342,-17.24411833,12.92626005,41.31153249,3.195938527
FS20LE,9.670830918,-18.04773258,12.98475258,41.64672073,3.20735574
FS21LE,8.829295268,-17.83239535,13.27086335,41.60415566,3.134999929
FS22LE,10.84967988,-17.92059283,12.95651866,41.50439254,3.203359917
FS23LE,11.47725419,-19.80228722,11.81169384,43.83967763,3.71154876
FS24LE,11.45827074,-17.889717,12.81467919,42.00631424,3.277984069
FS25LE,9.09297643,-19.30704968,12.68904751,40.92105448,3.22491144
FS26LE,11.51340822,-18.15107842,12.36056891,42.77271201,3.460416128
FS27LE,9.904811299,-17.08441573,12.5105313,41.75626868,3.337689478
FS28LE,11.42609797,-18.22477642,12.60274356,41.68967015,3.307983691
FS29LE,9.365438581,-19.08385735,12.77682809,40.46400383,3.166983507
FS30LE,8.675798323,-19.10954299,12.92994388,41.45408453,3.206052935
FS31LE,10.32927835,-19.63518334,12.20869653,39.94780555,3.272077856
FS32LE,9.573685477,-18.83204332,11.67712482,42.71882085,3.658333839
FS33LE,11.19157153,-17.41108158,11.88234394,37.67353134,3.17054712
FS34LE,9.114585313,-18.45121396,13.58248451,43.68677145,3.216405025
FS35LE,10.53305637,-18.35843899,12.3883344,39.865157,3.217959389
FS36LE,10.92259488,-17.77574262,9.97233646,33.66981947,3.376322049
FS37LE,9.619882575,-18.0276749,12.66748945,41.99510566,3.315187735
FS38LE,10.64891171,-18.60181676,11.58034678,44.21476251,3.818086224
FS39LE,10.37904933,-18.105484,11.80201771,42.9889757,3.642510691
FS40LE,10.95275118,-18.25957351,11.80380332,42.29736247,3.583367268
FS41LE,10.12126819,-17.22793036,12.61810985,40.54129863,3.212945451
FS42LE,9.955816515,-17.58340534,12.38255743,41.55194501,3.355683609
FS43LE,9.890818757,-19.96932278,12.26578985,39.7131991,3.237720488
FS44LE,9.596312286,-18.17401248,12.0470942,41.71389825,3.462569276
FS45LE,10.15639388,-17.56793607,12.53961604,41.62040871,3.319113487
FS46LE,9.720155722,-18.53459207,11.15591914,39.12079232,3.506729642
FS47LE,11.269979,-17.8000028,12.86837305,40.57914301,3.153401199
FS48LE,11.03821858,-17.5914362,12.49366631,39.93848251,3.196698353
FS49LE,10.95901167,-19.20362927,11.1300641,38.52263718,3.461133453
FS50LE,11.22230467,-16.9503964,12.25269772,41.30586187,3.371164686
FS51LE,10.50647313,-18.5900314,11.57762242,37.63262549,3.250462325
FS52LE,11.37311099,-17.66443437,12.77632711,41.68160758,3.262409238
FS53LE,10.31361445,-17.55495719,11.41058508,43.14788494,3.781391106
FS54LE,9.854918216,-18.5197391,8.633578318,27.98987812,3.241978829
FS55LE,11.26850242,-17.59427448,12.29102607,39.08350875,3.17984101
FS56LE,10.23058205,-17.16046232,12.61998425,40.54238573,3.212554383
FS57LE,12.37821924,-16.83314968,13.05357806,40.68542091,3.116802207
FS58LE,9.622782194,-17.47638176,11.39188811,40.5677467,3.561108247
FS59LE,11.02262273,-16.94902095,12.79860109,40.15673824,3.137588082
FS60LE,10.11879426,-18.08932242,12.05091222,42.99930738,3.568137133
FS61LE,10.78747951,-17.12384882,12.54366679,41.70377044,3.324687362
FS62LE,9.185307683,-17.36408415,12.41003379,42.85868116,3.453550722
FS63LE,8.533659376,-16.84796309,12.62323489,41.44972815,3.283605868
FS64LE,10.49751715,-18.71223578,10.62940377,43.33791675,4.077172878
FS65LE,10.6430739,-17.87094162,11.86851143,41.77244993,3.519603125
FS66LE,10.02729865,-19.18088469,12.01841829,38.53540262,3.206362242
FS67LE,8.869524683,-17.85560561,12.5615413,40.92512921,3.257970358
FS68LE,10.86417564,-18.01057759,11.04641116,35.34478339,3.199662123
FS69LE,11.47374375,-17.96917973,11.27882811,38.16060862,3.383384183
FS70LE,11.21962364,-17.8076034,11.45905088,37.0903008,3.236769012
