name,δ15N ‰air,δ13C ‰ V-PDB,%N,%C,C/N ratio
D011_R,13.35,-17.86,15.27,49.61,3.2
D008_R,14.01,-17.33,14.94,48.43,3.2
D001_R,14.02,-17.98,14.8,47.81,3.2
D004_R,13.79,-17.78,14.99,48.15,3.2
D003_R,13.76,-17.78,15.44,49.67,3.2
D007_R,14.74,-17.2,14.87,48.26,3.2
D002_R,14.61,-17.25,14.15,45.95,3.2
D006_R,14.28,-17.26,14.94,48.1,3.2
009_DR,13.69,-17.5,14.41,46.53,3.2
D005_R,13.44,-18.31,14.91,47.96,3.2
D003_P,13.44,-17.77,11.59,42.65,3.7
D011_P,13.23,-18.41,11.9,43.6,3.7
D005_P,13.92,-18.06,11.65,42.45,3.6
D002_P,14.17,-18.09,11.84,44.18,3.7
D006_P,14,-18.16,12.23,44.46,3.6
D004_P,13.82,-18.53,8.47,32.43,3.8
D001_P,13.82,-18.43,11.79,43.57,3.7
026_DP,13.7,-18.53,12.02,43.69,3.6
001_DP,15.34,-17.84,10.62,37.93,3.6
012_DP,12.92,-19.12,11.94,43.44,3.6
008_DP,13.03,-19.17,11.71,43.57,3.7
015_DP,13.22,-18.79,11.94,43.43,3.6
010_DP,12.97,-19.19,11.83,43.29,3.7
009_DR,12.83,-18.89,11.87,43.09,3.6
017_DR,13.24,-16.78,15.1,48.71,3.2
023_DR,12.2,-17.2,14.55,47.15,3.2
012_DR,12.96,-16.89,14.76,47.85,3.2
029_DR,13.03,-17.52,10.86,36.13,3.3
013_DR,12.67,-17.55,14.81,47.94,3.2
025_DR,12.76,-17.55,14.52,47.27,3.3
028_DR,12.23,-18.66,14.47,47.35,3.3
022_DR,12.53,-17.05,13.53,43.92,3.2
024_DR,12.34,-16.83,14.51,47.31,3.3
010_DR,12.7,-17.53,14.99,48.29,3.2
026_DR,13.13,-17.61,15.09,48.64,3.2
020_DR,12.58,-17.35,14.77,47.64,3.2
016_DR,12.86,-17.72,14.25,46.62,3.3
003_DR,12.86,-17.04,14.59,47.42,3.2
019_DR,12.77,-17.88,14.47,47.27,3.3
027_DR,13.39,-16.31,14.75,47.54,3.2
011_DR,12.89,-17.61,14.7,47.73,3.2
018_DR,13,-17,14.74,47.79,3.2
020_DP,13.17,-19.12,10.24,38.93,3.8
024_DP,13.36,-17.76,11.52,42.37,3.7
017_DP,13.02,-17.94,12.29,44.63,3.6
021_DP,13.53,-18.83,11.63,44.07,3.8
006_DP,13.36,-19.08,11.46,43.16,3.8
027_DP,13.94,-16.58,11.74,42.7,3.6
007_DP,13.76,-18.51,11.62,43.23,3.7
013_DP,12.49,-19.04,11.77,42.75,3.6
025_DP,14.18,-18.12,11.6,42.94,3.7
016_DP,13.59,-18.41,11.39,42.3,3.7
029_DP,14.24,-17.81,11.75,43.07,3.7
018_DP,13.67,-18.54,11.66,45.49,3.9
011_DP,-49.17,-28.34,0.01,-0.01,-1
028_DP,13.26,-19.27,11.75,42.99,3.7
023_DP,13.78,-18.34,10.11,37.51,3.7
008_DP,13.06,-19.14,11.34,42.97,3.8
019_DP,12.96,-19.19,11.82,43.71,3.7
009_DR,13.51,-17.45,14.75,48.57,3.3
015_DR,12.84,-17.56,14.53,47.77,3.3
008_DR,12.82,-18.06,14.4,47.75,3.3
014_DR,13.68,-17.29,14.67,48.11,3.3
006_DR,13.34,-17.18,14.62,48.1,3.3
021_DR,13.89,-17.54,14.15,46.9,3.3
007_DR,12.98,-17.61,14.02,46.94,3.3
002_DR,14.53,-18.12,11.61,41.93,3.6
004_DR,14.5,-18.34,11.8,42.61,3.6
005_DR,15.86,-17.49,11.39,41.15,3.6
003_DR,14.83,-17.9,11.12,40.87,3.7
004_DR,14.1203271,-17.86215499,14.51017124,48.43274,3.337847584
005_DR,15.07610211,-17.09874611,14.49838998,47.73182723,3.292215707
001_DR,14.03038028,-17.53987078,14.56519068,47.36972524,3.252255756
002_DR,14.23004609,-17.27279536,14.63982895,48.16632214,3.290087767
D007P,14.51004657,-18.26486691,11.46798441,43.41446053,3.785709761
D008P,13.81890561,-18.58655323,11.53741998,43.35794928,3.758028167
D010P,13.73886256,-18.70492421,11.30728009,43.47481696,3.844851866
012_DP,12.95037613,-18.70791516,11.16652887,42.19483312,3.7786884
022_DP,13.74409395,-17.82000427,11.794638,43.2988938,3.671065938
011_DP,13.24928096,-19.14191948,10.82409671,40.93748043,3.782068983
014_DP,13.28460327,-18.82387652,11.44183833,42.07521389,3.677312393
