Spp,d15n,d13c,name,Tow
Grey Gurnard,10.59531235,-17.77063322,FS10LE,19
Grey Gurnard,10.62904628,-18.30113345,FS11LE,19
Common Dab,10.38,-17.22,FS12LE,41
Long Rough Dab,9.87,-16.74,FS13LE,33
Long Rough Dab,9.170213118,-18.0121647,FS14LE,33
Squid,10.80483733,-18.08133756,FS15LE,41
Squid,8.12,-19.12,FS16LE,41
Plaice,11.07598309,-17.4145324,FS17LE,19
Plaice,11.4038203,-16.96318024,FS18LE,19
Plaice,9.59449342,-17.24411833,FS19LE,43
Common Dab,9.936586899,-17.11499648,FS1LE,41
Lemon Sole,9.670830918,-18.04773258,FS20LE,19
Norway Pout,8.829295268,-17.83239535,FS21LE,33
Red Gurnard,10.84967988,-17.92059283,FS22LE,19
Bluemouth,11.47725419,-19.80228722,FS23LE,33
Bluemouth,11.45827074,-17.889717,FS24LE,33
Blue Whiting,9.09297643,-19.30704968,FS25LE,33
Bluemouth,11.51340822,-18.15107842,FS26LE,33
Plaice,9.904811299,-17.08441573,FS27LE,19
Red Gurnard,11.42609797,-18.22477642,FS28LE,19
Blue Whiting,9.365438581,-19.08385735,FS29LE,33
Squid,10.47,-17.92,FS2LE,41
Blue Whiting,8.675798323,-19.10954299,FS30LE,33
Norway Pout,10.32927835,-19.63518334,FS31LE,33
Lemon Sole,9.573685477,-18.83204332,FS32LE,19
Plaice,11.19157153,-17.41108158,FS33LE,43
Lemon Sole,9.114585313,-18.45121396,FS34LE,19
Red Gurnard,10.53305637,-18.35843899,FS35LE,19
Plaice,10.92259488,-17.77574262,FS36LE,19
Common Dab,9.619882575,-18.0276749,FS37LE,19
Grey Gurnard,10.64891171,-18.60181676,FS38LE,38
Grey Gurnard,10.37904933,-18.105484,FS39LE,38
Argentine,11.05028438,-17.44205446,FS3LE,33
Grey Gurnard,10.95275118,-18.25957351,FS40LE,38
Common Dab,10.12126819,-17.22793036,FS41LE,43
Common Dab,9.955816515,-17.58340534,FS42LE,38
Norway Pout,9.890818757,-19.96932278,FS43LE,26
Common Dab,9.596312286,-18.17401248,FS44LE,19
Common Dab,10.15639388,-17.56793607,FS45LE,38
Common Dab,9.720155722,-18.53459207,FS46LE,19
Argentine,11.269979,-17.8000028,FS47LE,38
Argentine,11.03821858,-17.5914362,FS48LE,38
Poor Cod,10.95901167,-19.20362927,FS49LE,38
Common Dab,11.22230467,-16.9503964,FS50LE,43
Poor Cod,10.50647313,-18.5900314,FS51LE,38
Cod,11.37311099,-17.66443437,FS52LE,19
Common Dab,10.31361445,-17.55495719,FS53LE,38
Norway Pout,9.854918216,-18.5197391,FS54LE,26
Poor Cod,11.26850242,-17.59427448,FS55LE,38
Common Dab,10.23058205,-17.16046232,FS56LE,43
Cod,12.37821924,-16.83314968,FS57LE,19
Common Dab,9.622782194,-17.47638176,FS58LE,33
Argentine,11.02262273,-16.94902095,FS59LE,38
Cod,10.75063398,-17.70041732,FS5LE,19
Grey Gurnard,10.11879426,-18.08932242,FS60LE,43
Cod,10.78747951,-17.12384882,FS61LE,19
Common Dab,9.185307683,-17.36408415,FS62LE,33
Common Dab,8.533659376,-16.84796309,FS63LE,33
Grey Gurnard,10.49751715,-18.71223578,FS64LE,43
Grey Gurnard,10.6430739,-17.87094162,FS65LE,43
Norway Pout,10.02729865,-19.18088469,FS66LE,26
Norway Pout,8.869524683,-17.85560561,FS67LE,33
Squid,10.86417564,-18.01057759,FS68LE,38
Squid,11.47374375,-17.96917973,FS69LE,38
Argentine,11.18,-17.36,FS6LE,33
Squid,11.21962364,-17.8076034,FS70LE,38
Long Rough Dab,10.03358108,-18.3434834,FS7LE,33
Common Dab,10.47609751,-17.75948859,FS8LE,41
Grey Gurnard,10.65,-17.76,FS9LE,19
