group,d15n,d13c,%N,%C,CN_ratio
scorpionfish,10.59531235,-17.77063322,12.92684904,43.17244523,3.339750088
scorpionfish,10.62904628,-18.30113345,12.44127508,44.33037729,3.563169934
Flatfish,10.37618391,-17.22072939,12.77321072,42.87654124,3.35675518
Flatfish,9.869794953,-16.73510874,12.85427357,42.47529653,3.3043716
Flatfish,9.170213118,-18.0121647,11.41190957,43.98255038,3.854092086
Squid,10.80483733,-18.08133756,11.49927906,38.10867081,3.314005217
Squid,8.123563171,-19.11909929,9.140519296,41.67985298,4.559899896
Flatfish,11.07598309,-17.4145324,12.41939738,40.61777818,3.270511197
Flatfish,11.4038203,-16.96318024,12.75398764,41.03681103,3.2175671
Flatfish,9.59449342,-17.24411833,12.92626005,41.31153249,3.195938527
Flatfish,9.936586899,-17.11499648,12.91980941,42.43271444,3.284314272
Flatfish,9.670830918,-18.04773258,12.98475258,41.64672073,3.20735574
trisopterus,8.829295268,-17.83239535,13.27086335,41.60415566,3.134999929
scorpionfish,10.84967988,-17.92059283,12.95651866,41.50439254,3.203359917
Bluemouth,11.47725419,-19.80228722,11.81169384,43.83967763,3.71154876
Bluemouth,11.45827074,-17.889717,12.81467919,42.00631424,3.277984069
trisopterus,9.09297643,-19.30704968,12.68904751,40.92105448,3.22491144
Bluemouth,11.51340822,-18.15107842,12.36056891,42.77271201,3.460416128
Flatfish,9.904811299,-17.08441573,12.5105313,41.75626868,3.337689478
scorpionfish,11.42609797,-18.22477642,12.60274356,41.68967015,3.307983691
trisopterus,9.365438581,-19.08385735,12.77682809,40.46400383,3.166983507
Squid,10.4686702,-17.91773069,10.95444967,37.62435935,3.434618853
trisopterus,8.675798323,-19.10954299,12.92994388,41.45408453,3.206052935
trisopterus,10.32927835,-19.63518334,12.20869653,39.94780555,3.272077856
Flatfish,9.573685477,-18.83204332,11.67712482,42.71882085,3.658333839
Flatfish,11.19157153,-17.41108158,11.88234394,37.67353134,3.17054712
Flatfish,9.114585313,-18.45121396,13.58248451,43.68677145,3.216405025
scorpionfish,10.53305637,-18.35843899,12.3883344,39.865157,3.217959389
Flatfish,10.92259488,-17.77574262,9.97233646,33.66981947,3.376322049
Flatfish,9.619882575,-18.0276749,12.66748945,41.99510566,3.315187735
scorpionfish,10.64891171,-18.60181676,11.58034678,44.21476251,3.818086224
scorpionfish,10.37904933,-18.105484,11.80201771,42.9889757,3.642510691
Argentine,11.05028438,-17.44205446,12.73142398,42.32301832,3.324295725
scorpionfish,10.95275118,-18.25957351,11.80380332,42.29736247,3.583367268
Flatfish,10.12126819,-17.22793036,12.61810985,40.54129863,3.212945451
Flatfish,9.955816515,-17.58340534,12.38255743,41.55194501,3.355683609
trisopterus,9.890818757,-19.96932278,12.26578985,39.7131991,3.237720488
Flatfish,9.596312286,-18.17401248,12.0470942,41.71389825,3.462569276
Flatfish,10.15639388,-17.56793607,12.53961604,41.62040871,3.319113487
Flatfish,9.720155722,-18.53459207,11.15591914,39.12079232,3.506729642
Argentine,11.269979,-17.8000028,12.86837305,40.57914301,3.153401199
Argentine,11.03821858,-17.5914362,12.49366631,39.93848251,3.196698353
trisopterus,10.95901167,-19.20362927,11.1300641,38.52263718,3.461133453
Flatfish,11.22230467,-16.9503964,12.25269772,41.30586187,3.371164686
trisopterus,10.50647313,-18.5900314,11.57762242,37.63262549,3.250462325
Cod,11.37311099,-17.66443437,12.77632711,41.68160758,3.262409238
Flatfish,10.31361445,-17.55495719,11.41058508,43.14788494,3.781391106
trisopterus,9.854918216,-18.5197391,8.633578318,27.98987812,3.241978829
trisopterus,11.26850242,-17.59427448,12.29102607,39.08350875,3.17984101
Flatfish,10.23058205,-17.16046232,12.61998425,40.54238573,3.212554383
Cod,12.37821924,-16.83314968,13.05357806,40.68542091,3.116802207
Flatfish,9.622782194,-17.47638176,11.39188811,40.5677467,3.561108247
Argentine,11.02262273,-16.94902095,12.79860109,40.15673824,3.137588082
Cod,10.75063398,-17.70041732,12.16242599,38.81667775,3.191524272
scorpionfish,10.12,-18.09,12.05,43,3.6
Cod,10.79,-17.12,12.54,41.7,3.3
Flatfish,9.19,-17.36,12.41,42.86,3.5
Flatfish,8.53,-16.85,12.62,41.45,3.3
scorpionfish,10.5,-18.71,10.63,43.34,4.1
scorpionfish,10.64,-17.87,11.87,41.77,3.5
trisopterus,10.03,-19.18,12.02,38.54,3.2
trisopterus,8.87,-17.86,12.56,40.93,3.3
Squid,10.86,-18.01,11.05,35.34,3.2
Squid,11.47,-17.97,11.28,38.16,3.4
Argentine,11.17629989,-17.3603551,12.93028214,41.44320404,3.205127589
Squid,11.22,-17.81,11.46,37.09,3.2
Flatfish,10.03358108,-18.3434834,11.67265774,39.23149637,3.360973761
Flatfish,10.47609751,-17.75948859,12.19053505,44.89161451,3.682497472
scorpionfish,10.65077596,-17.76053631,12.6204669,41.65295925,3.300429342
