name,d15n,d13c,X.N,X.C,C.N.ratio,Species,Type
D003_P,13.44,-17.77,11.59,42.65,3.7,Grey,Plasma
D011_P,13.23,-18.41,11.9,43.6,3.7,Grey,Plasma
D005_P,13.92,-18.06,11.65,42.45,3.6,Grey,Plasma
D002_P,14.17,-18.09,11.84,44.18,3.7,Grey,Plasma
D006_P,14,-18.16,12.23,44.46,3.6,Grey,Plasma
D004_P,13.82,-18.53,8.47,32.43,3.8,Grey,Plasma
D001_P,13.82,-18.43,11.79,43.57,3.7,Grey,Plasma
D007P,14.51004657,-18.26486691,11.46798441,43.41446053,3.785709761,Grey,Plasma
D008P,13.81890561,-18.58655323,11.53741998,43.35794928,3.758028167,Grey,Plasma
D010P,13.73886256,-18.70492421,11.30728009,43.47481696,3.844851866,Grey,Plasma
