theDateTime,location,species,sex,otherID,tagNo,region
7/1/2022,Rumble (SE of Whalsey),Hg,M,D007,4264,East Shetland
6/15/2022,Horn Skerry (North Out Skerries),Hg,M,D004,14791,East Shetland
6/13/2022,"Short Guen, Out Skerries South",Hg,M,D001,14839,East Shetland
6/21/2022,"East Voe, North out Skerries",Hg,M,D006,14995,East Shetland
6/15/2022,"Long Guen, South Out Skerries",Hg,M,D005,15021,East Shetland
7/11/2022,Horn Skerry (N out Skerries),Hg,M,D011,15022,East Shetland
7/10/2022,Horn Skerry (N out Skerries),Hg,M,D010,15253,East Shetland
6/14/2022,Little Skerry Skerry (W of Out Skerries),Hg,F,D003,20158,East Shetland
6/14/2022,Horn Skerry (North Out Skerries),Hg,F,D002,20161,East Shetland
7/2/2022,Horn Skerry (N out Skerries),Hg,M,D008,20162,East Shetland
9/17/2022,Bay of Fladdabister,Pv,F,013D,14689,SE Shetland
9/17/2022,Gulberwick Bay,Pv,M,014D,15254,SE Shetland
10/5/2022,East Voe of Quarff,Pv,F,015D,20127,SE Shetland
4/5/2022,Wick of Burland (north of Quarff voe),Pv,F,012D,20131,SE Shetland
9/14/2022,Bay of Fladdabister,Pv,M,005D,20132,SE Shetland
9/18/2022,East Voe of Quarff,Pv,M,009D,20133,SE Shetland
9/12/2022,East Voe of Quarff,Pv,F,016D,20134,SE Shetland
9/14/2022,Bay of Fladdabister,Pv,F,010D,20136,SE Shetland
9/10/2022,Voe of Sound,Pv,M,011D,20137,SE Shetland
10/8/2022,East Voe of Quarff,Pv,F,004D,20144,SE Shetland
9/23/2022,East Voe of Quarff (south),Pv,F,018D,20147,SE Shetland
9/23/2022,East Voe of Quarff (south),Pv,F,020D,20148,SE Shetland
9/24/2022,East Voe of Quarff (south),Pv,F,019D,20150,SE Shetland
4/2/2022,Bay Of Sound,Pv,F,021D,20151,SE Shetland
10/11/2022,"S of Cunningburgh, Crossie Geo",Pv,F,003D,20153,SE Shetland
10/11/2022,Gulberwick Bay,Pv,F,017D,20156,SE Shetland
10/5/2022,Mio Ness bay,Pv,F,024D,15255,Yell Sound
10/8/2022," SW Little Roe, Yell sound",Pv,F,002D,20125,Yell Sound
9/18/2022,"Little Roe, SE Bay",Pv,M,026D,20126,Yell Sound
9/28/2022,Mio Ness bay,Pv,F,023D,20128,Yell Sound
9/11/2022,"Lamba, south west bay",Pv,F,022D,20129,Yell Sound
9/15/2022,Lamba NW (Yell Sound),Pv,F,007D,20130,Yell Sound
9/14/2022,Lamba (Yell Sound),Pv,M,008D,20135,Yell Sound
10/8/2022,Sliga Skerry,Pv,F,006D,20138,Yell Sound
3/28/2022,"Little Roe, SE Bay",Pv,F,025D,20141,Yell Sound
4/5/2022,"South Lamba, Yell sound",Pv,M,001D,20143,Yell Sound
9/20/2022,"Lamba, SW Bay",Pv,F,027D,20145,Yell Sound
9/19/2022,"Lamba, SW Bay",Pv,M,028D,20154,Yell Sound
3/28/2022,Mio Ness (Yell Sound),Pv,F,029D,20157,Yell Sound
