"","Sample.Name","Lipid.Extracted.","Spp","Tow","Replicate","Plate","Well"
"1","FS1LE",TRUE,NA,NA,NA,NA,NA
"2","FS2LE",TRUE,NA,NA,NA,NA,NA
"3","FS3LE",TRUE,NA,NA,NA,NA,NA
"4","FS4LE",TRUE,NA,NA,NA,NA,NA
"5","FS5LE",TRUE,NA,NA,NA,NA,NA
"6","FS6LE",TRUE,NA,NA,NA,NA,NA
"7","FS7LE",TRUE,NA,NA,NA,NA,NA
"8","FS8LE",TRUE,NA,NA,NA,NA,NA
"9","FS9LE",TRUE,NA,NA,NA,NA,NA
"10","FS10LE",TRUE,NA,NA,NA,NA,NA
"11","FS11LE",TRUE,NA,NA,NA,NA,NA
"12","FS12LE",TRUE,NA,NA,NA,NA,NA
"13","FS13LE",TRUE,NA,NA,NA,NA,NA
"14","FS14LE",TRUE,NA,NA,NA,NA,NA
"15","FS15LE",TRUE,NA,NA,NA,NA,NA
"16","FS16LE",TRUE,NA,NA,NA,NA,NA
"17","FS17LE",TRUE,NA,NA,NA,NA,NA
"18","FS18LE",TRUE,NA,NA,NA,NA,NA
"19","FS19LE",TRUE,NA,NA,NA,NA,NA
"20","FS20LE",TRUE,NA,NA,NA,NA,NA
"21","FS21LE",TRUE,NA,NA,NA,NA,NA
"22","FS22LE",TRUE,NA,NA,NA,NA,NA
"23","FS23LE",TRUE,NA,NA,NA,NA,NA
"24","FS24LE",TRUE,NA,NA,NA,NA,NA
"25","FS25LE",TRUE,NA,NA,NA,NA,NA
"26","FS26LE",TRUE,NA,NA,NA,NA,NA
"27","FS27LE",TRUE,NA,NA,NA,NA,NA
"28","FS28LE",TRUE,NA,NA,NA,NA,NA
"29","FS29LE",TRUE,NA,NA,NA,NA,NA
"30","FS30LE",TRUE,NA,NA,NA,NA,NA
"31","FS31LE",TRUE,NA,NA,NA,NA,NA
"32","FS32LE",TRUE,NA,NA,NA,NA,NA
"33","FS33LE",TRUE,NA,NA,NA,NA,NA
"34","FS34LE",TRUE,NA,NA,NA,NA,NA
"35","FS35LE",TRUE,NA,NA,NA,NA,NA
"36","FS36LE",TRUE,NA,NA,NA,NA,NA
"37","FS37LE",TRUE,NA,NA,NA,NA,NA
"38","FS38LE",TRUE,NA,NA,NA,NA,NA
"39","FS39LE",TRUE,NA,NA,NA,NA,NA
"40","FS40LE",TRUE,NA,NA,NA,NA,NA
"41","FS41LE",TRUE,NA,NA,NA,NA,NA
"42","FS42LE",TRUE,NA,NA,NA,NA,NA
"43","FS43LE",TRUE,NA,NA,NA,NA,NA
"44","FS44LE",TRUE,NA,NA,NA,NA,NA
"45","FS45LE",TRUE,NA,NA,NA,NA,NA
"46","FS46LE",TRUE,NA,NA,NA,NA,NA
"47","FS47LE",TRUE,NA,NA,NA,NA,NA
"48","FS48LE",TRUE,NA,NA,NA,NA,NA
"49","FS49LE",TRUE,NA,NA,NA,NA,NA
"50","FS50LE",TRUE,NA,NA,NA,NA,NA
"51","FS51LE",TRUE,NA,NA,NA,NA,NA
"52","FS52LE",TRUE,NA,NA,NA,NA,NA
"53","FS53LE",TRUE,NA,NA,NA,NA,NA
"54","FS54LE",TRUE,NA,NA,NA,NA,NA
"55","FS55LE",TRUE,NA,NA,NA,NA,NA
"56","FS56LE",TRUE,NA,NA,NA,NA,NA
"57","FS57LE",TRUE,NA,NA,NA,NA,NA
"58","FS58LE",TRUE,NA,NA,NA,NA,NA
"59","FS59LE",TRUE,NA,NA,NA,NA,NA
"60","FS60LE",TRUE,NA,NA,NA,NA,NA
"61","FS61LE",TRUE,NA,NA,NA,NA,NA
"62","FS62LE",TRUE,NA,NA,NA,NA,NA
"63","FS63LE",TRUE,NA,NA,NA,NA,NA
"64","FS64LE",TRUE,NA,NA,NA,NA,NA
"65","FS65LE",TRUE,NA,NA,NA,NA,NA
"66","FS66LE",TRUE,NA,NA,NA,NA,NA
"67","FS67LE",TRUE,NA,NA,NA,NA,NA
"68","FS68LE",TRUE,NA,NA,NA,NA,NA
"69","FS69LE",TRUE,NA,NA,NA,NA,NA
"70","FS70LE",TRUE,NA,NA,NA,NA,NA
