group,name,Spp,d13c,d15n
Scorpionfish,FS10,Grey Gurnard,-17.77063322,11.02301968
Scorpionfish,FS11,Grey Gurnard,-18.30113345,10.71447535
Squid,FS15,Squid,-18.08133756,10.8758121
Squid,FS16,Squid,-19.12,11.54705434
Plaice,FS17,Plaice,-17.4145324,10.94
Plaice,FS18,Plaice,-16.96318024,11.24
Plaice,FS19,Plaice,-17.24411833,9.63
Squid,FS2,Squid,-17.92,11.44993083
Small Benthics,FS21,Norway Pout,-17.83239535,9.04
Scorpionfish,FS22,Red Gurnard,-17.92059283,9.659242639
Bluemouth,FS23,Bluemouth,-19.80228722,11.71
Bluemouth,FS24,Bluemouth,-17.889717,11.62
Small Benthics,FS25,Blue Whiting,-19.30704968,9.29
Bluemouth,FS26,Bluemouth,-18.15107842,11.62757955
Plaice,FS27,Plaice,-17.08441573,9.89
Scorpionfish,FS28,Red Gurnard,-18.22477642,11.38898676
Small Benthics,FS29,Blue Whiting,-19.08385735,10.76356026
Pelagics,FS3,Argentine,-17.44205446,11.20628884
Small Benthics,FS30,Blue Whiting,-19.10954299,8.629290307
Small Benthics,FS31,Norway Pout,-19.63518334,10.38
Plaice,FS33,Plaice,-17.41108158,11.69
Scorpionfish,FS35,Red Gurnard,-18.35843899,10.88
Plaice,FS36,Plaice,-17.77574262,11.29
Scorpionfish,FS38,Grey Gurnard,-18.60181676,10.71
Scorpionfish,FS39,Grey Gurnard,-18.105484,10.47
Pelagics,FS4,Argentine,-16.93078349,11.84356841
Scorpionfish,FS40,Grey Gurnard,-18.25957351,10.96
Small Benthics,FS43,Norway Pout,-19.96932278,9.97
Pelagics,FS47,Argentine,-17.8000028,11.34
Pelagics,FS48,Argentine,-17.5914362,11.06
Small Benthics,FS49,Poor Cod,-19.20362927,10.89
Small Benthics,FS51,Poor Cod,-18.5900314,10.39
Pelagics,FS52,Cod,-17.66443437,11.36
Small Benthics,FS54,Norway Pout,-18.5197391,9.93
Small Benthics,FS55,Poor Cod,-17.59427448,11.44
Pelagics,FS57,Cod,-16.83314968,12.23
Pelagics,FS59,Argentine,-16.94902095,11.26
Pelagics,FS6,Argentine,-17.36,11.87115367
Scorpionfish,FS60,Grey Gurnard,-18.09,10.13
Pelagics,FS61,Cod,-17.12,11.23
Scorpionfish,FS64,Grey Gurnard,-18.71,10.68
Scorpionfish,FS65,Grey Gurnard,-17.87,10.83
Small Benthics,FS66,Norway Pout,-19.18,10.11
Small Benthics,FS67,Norway Pout,-17.86,9.55
Squid,FS68,Squid,-18.01,9.54
Squid,FS69,Squid,-17.97,11.32
Squid,FS70,Squid,-17.81,11.01
Scorpionfish,FS9,Grey Gurnard,-17.76,10.83361096
Pelagic Sandeel*,AMK1,Pelagic Sandeel*,-22.6,9.8
Pelagic Sandeel*,AMK2,Pelagic Sandeel*,-19.1,10.1
