,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Epsilon.1,2.464,3.485,0.081,0.125,0.435,1.072,2.831,10.25,14.092
Epsilon.2,1.777,3.933,0.021,0.03,0.101,0.24,0.839,12.196,15.922
p.global.Argentine,0.001,0.005,0,0,0,0,0,0,0.003
p.global.Benthic Sandeel,0.038,0.035,0.002,0.003,0.013,0.028,0.052,0.109,0.131
p.global.Blue Whiting,0.195,0.115,0.029,0.041,0.107,0.177,0.267,0.407,0.457
p.global.Bluemouth,0.172,0.104,0.027,0.036,0.094,0.154,0.232,0.371,0.42
p.global.Cod,0.122,0.079,0.018,0.025,0.063,0.105,0.163,0.276,0.316
p.global.Common Dab,0.017,0.027,0,0,0.001,0.007,0.022,0.072,0.093
p.global.Grey Gurnard,0.118,0.075,0.016,0.024,0.062,0.104,0.158,0.26,0.301
p.global.Lemon Sole,0.021,0.032,0,0,0.001,0.007,0.027,0.084,0.113
p.global.Long Rough Dab,0.017,0.026,0,0,0.001,0.006,0.021,0.07,0.092
p.global.Norway Pout,0.016,0.031,0,0,0,0.003,0.018,0.078,0.11
p.global.Pelagic Sandeel,0.104,0.075,0.007,0.013,0.047,0.088,0.145,0.249,0.29
p.global.Plaice,0.019,0.029,0,0,0.001,0.007,0.025,0.079,0.103
p.global.Poor Cod,0.004,0.016,0,0,0,0,0,0.023,0.044
p.global.Red Gurnard,0.139,0.089,0.017,0.027,0.071,0.122,0.191,0.309,0.354
p.global.Squid,0.016,0.031,0,0,0,0.004,0.018,0.078,0.105
