"","x"
"1","South Lamba, Yell sound"
"2"," SW Little Roe, Yell sound"
"3","S of Cunningburgh, Crossie Geo"
"4","East Voe of Quarff"
"5","Bay of Fladdabister"
"6","Sliga Skerry"
"7","Lamba NW (Yell Sound)"
"8","Lamba (Yell Sound)"
"9","Wick of Burland (north of Quarff voe)"
"10","Gulberwick Bay"
"11","East Voe of Quarff (south)"
"12","Bay Of Sound"
"13","Lamba, south west bay"
"14","Mio Ness bay"
"15","Little Roe, SE Bay"
"16","Lamba, SW Bay"
"17","Mio Ness (Yell Sound)"
"18","Short Guen, Out Skerries South"
"19","Horn Skerry (North Out Skerries)"
"20","Little Skerry Skerry (W of Out Skerries)"
"21","Long Guen, South Out Skerries"
"22","East Voe, North out Skerries"
"23","Rumble (SE of Whalsey)"
"24","Horn Skerry (N out Skerries)"
